recipe_source_id,recipe_title_raw,category_raw,subcategory_raw,ingredient_index,ingredient_raw,section_name_raw,is_section_header,quantity_raw,quantity_value_low,quantity_value_high,unit_raw,unit_normalized,ingredient_text_clean,food_name_candidate,preparation_note,optional_flag,garnish_flag,alternative_flag,packaging_flag,parse_status,parse_notes,matched_food_id,matched_canonical_name,matched_display_name,matched_food_family_name,match_method,match_confidence,mapping_status,mapping_notes,candidate_count,candidate_food_ids_preview
pilot_recipe_final_001,"""OG"" Zuppa Toscana Soup",Pork,Pork Soup,1,1 pound ground Italian sausage,,0,1,1.0,1.0,pound,pound,ground Italian sausage,ground Italian sausage,,0,0,0,0,parsed_clean,,,,,,no_match,low,unmapped,no_exact_or_normalized_match,0,
pilot_recipe_final_001,"""OG"" Zuppa Toscana Soup",Pork,Pork Soup,2,1 ½ teaspoons red pepper flakes,,0,1 1/2,1.5,1.5,teaspoons,teaspoon,red pepper flakes,red pepper flakes,,0,0,0,0,parsed_clean,,,,,,no_match,low,unmapped,no_exact_or_normalized_match,0,
pilot_recipe_final_001,"""OG"" Zuppa Toscana Soup",Pork,Pork Soup,3,"1 large white onion, diced",,0,1,1.0,1.0,,,"large white onion, diced",white onion,large; diced,0,0,0,0,parsed_partial,size_descriptor_removed; preparation_note_from_commas; count_without_measure_unit,,,,,no_match,low,unmapped,no_exact_or_normalized_match,0,
pilot_recipe_final_001,"""OG"" Zuppa Toscana Soup",Pork,Pork Soup,4,"4 strips bacon, diced",,0,4,4.0,4.0,strips,strip,"bacon, diced",bacon,diced,0,0,0,0,parsed_partial,preparation_note_from_commas,,,,,no_match,low,unmapped,no_exact_or_normalized_match,0,
pilot_recipe_final_001,"""OG"" Zuppa Toscana Soup",Pork,Pork Soup,5,2 teaspoons garlic puree,,0,2,2.0,2.0,teaspoons,teaspoon,garlic puree,garlic puree,,0,0,0,0,parsed_clean,,,,,,no_match,low,unmapped,no_exact_or_normalized_match,0,
pilot_recipe_final_001,"""OG"" Zuppa Toscana Soup",Pork,Pork Soup,7,5 cubes chicken bouillon,,0,5,5.0,5.0,cubes,cube,chicken bouillon,chicken bouillon,,0,0,0,0,parsed_clean,,,,,,no_match,low,unmapped,no_exact_or_normalized_match,0,
pilot_recipe_final_001,"""OG"" Zuppa Toscana Soup",Pork,Pork Soup,8,"1 pound russet potatoes, diced",,0,1,1.0,1.0,pound,pound,"russet potatoes, diced",russet potatoes,diced,0,0,0,0,parsed_partial,preparation_note_from_commas,,,,,no_match,low,unmapped,no_exact_or_normalized_match,0,
pilot_recipe_final_001,"""OG"" Zuppa Toscana Soup",Pork,Pork Soup,9,1 cup heavy whipping cream,,0,1,1.0,1.0,cup,cup,heavy whipping cream,heavy whipping cream,,0,0,0,0,parsed_clean,,,,,,no_match,low,unmapped,no_exact_or_normalized_match,0,
pilot_recipe_final_001,"""OG"" Zuppa Toscana Soup",Pork,Pork Soup,10,"¼ bunch kale, chopped",,0,1/4,0.25,0.25,bunch,bunch,"kale, chopped",kale,chopped,0,0,0,0,parsed_partial,preparation_note_from_commas,,,,,no_match,low,unmapped,no_exact_or_normalized_match,0,
pilot_recipe_final_002,Ahi Tuna Tacos with Pineapple Salsa,Mexican,Mexican Fish Tacos,2,2 teaspoons salt,,0,2,2.0,2.0,teaspoons,teaspoon,salt,salt,,0,0,0,0,parsed_clean,,,,,,no_match,low,unmapped,no_exact_or_normalized_match,0,
